,timestamps,PLETH,SPO2
42308,2022-10-03 03:46:40.080,11502,97
42309,2022-10-03 03:46:40.090,14002,97
42310,2022-10-03 03:46:40.100,17283,97
42311,2022-10-03 03:46:40.110,21283,97
42312,2022-10-03 03:46:40.120,25850,97
42313,2022-10-03 03:46:40.130,30828,97
42314,2022-10-03 03:46:40.140,36009,97
42315,2022-10-03 03:46:40.150,41178,97
42316,2022-10-03 03:46:40.160,46146,97
42317,2022-10-03 03:46:40.170,50714,97
42318,2022-10-03 03:46:40.180,54740,97
42319,2022-10-03 03:46:40.190,58102,97
42320,2022-10-03 03:46:40.200,60738,97
42321,2022-10-03 03:46:40.210,62258,97
42322,2022-10-03 03:46:40.220,62258,97
42323,2022-10-03 03:46:40.230,62258,97
42324,2022-10-03 03:46:40.240,61948,97
42325,2022-10-03 03:46:40.250,61051,97
42326,2022-10-03 03:46:40.260,59645,97
42327,2022-10-03 03:46:40.270,57817,97
42328,2022-10-03 03:46:40.280,55666,97
42329,2022-10-03 03:46:40.290,53284,97
42330,2022-10-03 03:46:40.300,50767,97
42331,2022-10-03 03:46:40.310,48203,97
42332,2022-10-03 03:46:40.320,45678,97
42333,2022-10-03 03:46:40.330,43253,97
42334,2022-10-03 03:46:40.340,40995,97
42335,2022-10-03 03:46:40.350,38934,97
42336,2022-10-03 03:46:40.360,37103,97
42337,2022-10-03 03:46:40.370,35516,97
42338,2022-10-03 03:46:40.380,34170,97
42339,2022-10-03 03:46:40.390,33040,97
42340,2022-10-03 03:46:40.400,32110,97
42341,2022-10-03 03:46:40.410,31340,97
42342,2022-10-03 03:46:40.420,30698,97
42343,2022-10-03 03:46:40.430,30124,97
42344,2022-10-03 03:46:40.440,29590,97
42345,2022-10-03 03:46:40.450,29053,97
42346,2022-10-03 03:46:40.460,28494,97
42347,2022-10-03 03:46:40.470,27870,97
42348,2022-10-03 03:46:40.480,27158,97
42349,2022-10-03 03:46:40.490,26364,97
42350,2022-10-03 03:46:40.500,25472,97
42351,2022-10-03 03:46:40.510,24487,97
42352,2022-10-03 03:46:40.520,23414,97
42353,2022-10-03 03:46:40.530,22258,97
42354,2022-10-03 03:46:40.540,21041,97
42355,2022-10-03 03:46:40.550,19784,97
42356,2022-10-03 03:46:40.560,18509,97
42357,2022-10-03 03:46:40.570,17228,97
42358,2022-10-03 03:46:40.580,15952,97
42359,2022-10-03 03:46:40.590,14706,97
42360,2022-10-03 03:46:40.600,13515,97
42361,2022-10-03 03:46:40.610,12394,97
42362,2022-10-03 03:46:40.620,11359,97
42363,2022-10-03 03:46:40.630,10482,97
42364,2022-10-03 03:46:40.640,9849,97
42365,2022-10-03 03:46:40.650,9590,97
42366,2022-10-03 03:46:40.660,9846,97
42367,2022-10-03 03:46:40.670,10762,97
42368,2022-10-03 03:46:40.680,12437,97
42369,2022-10-03 03:46:40.690,14921,97
42370,2022-10-03 03:46:40.700,18194,97
42371,2022-10-03 03:46:40.710,22178,97
42372,2022-10-03 03:46:40.720,26742,97
42373,2022-10-03 03:46:40.730,31713,97
42374,2022-10-03 03:46:40.740,36904,97
42375,2022-10-03 03:46:40.750,42099,97
42376,2022-10-03 03:46:40.760,47097,97
42377,2022-10-03 03:46:40.770,51709,97
42378,2022-10-03 03:46:40.780,55800,97
42379,2022-10-03 03:46:40.790,59245,97
42380,2022-10-03 03:46:40.800,61961,97
42381,2022-10-03 03:46:40.810,62258,97
42382,2022-10-03 03:46:40.820,62258,97
42383,2022-10-03 03:46:40.830,62258,97
42384,2022-10-03 03:46:40.840,62031,97
42385,2022-10-03 03:46:40.850,61231,97
42386,2022-10-03 03:46:40.860,59935,97
42387,2022-10-03 03:46:40.870,58220,97
42388,2022-10-03 03:46:40.880,56187,97
42389,2022-10-03 03:46:40.890,53917,97
42390,2022-10-03 03:46:40.900,51505,97
42391,2022-10-03 03:46:40.910,49032,97
42392,2022-10-03 03:46:40.920,46587,97
42393,2022-10-03 03:46:40.930,44229,97
42394,2022-10-03 03:46:40.940,42015,97
42395,2022-10-03 03:46:40.950,39991,97
42396,2022-10-03 03:46:40.960,38181,97
42397,2022-10-03 03:46:40.970,36596,97
42398,2022-10-03 03:46:40.980,35231,97
42399,2022-10-03 03:46:40.990,34071,97
42400,2022-10-03 03:46:41.000,33089,97
42401,2022-10-03 03:46:41.010,32258,97
42402,2022-10-03 03:46:41.020,31541,97
42403,2022-10-03 03:46:41.030,30896,97
42404,2022-10-03 03:46:41.040,30280,97
42405,2022-10-03 03:46:41.050,29662,97
42406,2022-10-03 03:46:41.060,29001,97
42407,2022-10-03 03:46:41.070,28282,97
42408,2022-10-03 03:46:41.080,27484,97
42409,2022-10-03 03:46:41.090,26597,97
42410,2022-10-03 03:46:41.100,25626,97
42411,2022-10-03 03:46:41.110,24565,97
42412,2022-10-03 03:46:41.120,23425,97
42413,2022-10-03 03:46:41.130,22226,97
42414,2022-10-03 03:46:41.140,20979,97
42415,2022-10-03 03:46:41.150,19705,97
42416,2022-10-03 03:46:41.160,18418,97
42417,2022-10-03 03:46:41.170,17140,97
42418,2022-10-03 03:46:41.180,15882,97
42419,2022-10-03 03:46:41.190,14655,97
42420,2022-10-03 03:46:41.200,13478,97
42421,2022-10-03 03:46:41.210,12364,97
42422,2022-10-03 03:46:41.220,11327,97
42423,2022-10-03 03:46:41.230,10405,97
42424,2022-10-03 03:46:41.240,9675,97
42425,2022-10-03 03:46:41.250,9240,97
42426,2022-10-03 03:46:41.260,9236,97
42427,2022-10-03 03:46:41.270,9797,97
42428,2022-10-03 03:46:41.280,11036,97
42429,2022-10-03 03:46:41.290,13033,97
42430,2022-10-03 03:46:41.300,15794,97
42431,2022-10-03 03:46:41.310,19273,97
42432,2022-10-03 03:46:41.320,23357,97
42433,2022-10-03 03:46:41.330,27903,97
42434,2022-10-03 03:46:41.340,32725,97
42435,2022-10-03 03:46:41.350,37622,97
42436,2022-10-03 03:46:41.360,42402,97
42437,2022-10-03 03:46:41.370,46876,97
42438,2022-10-03 03:46:41.380,50877,97
42439,2022-10-03 03:46:41.390,54279,97
42440,2022-10-03 03:46:41.400,56992,97
42441,2022-10-03 03:46:41.410,58955,97
42442,2022-10-03 03:46:41.420,60160,97
42443,2022-10-03 03:46:41.430,60615,97
42444,2022-10-03 03:46:41.440,60361,97
42445,2022-10-03 03:46:41.450,59465,97
42446,2022-10-03 03:46:41.460,58003,97
42447,2022-10-03 03:46:41.470,56074,97
42448,2022-10-03 03:46:41.480,53783,97
42449,2022-10-03 03:46:41.490,51234,97
42450,2022-10-03 03:46:41.500,48536,97
42451,2022-10-03 03:46:41.510,45800,97
42452,2022-10-03 03:46:41.520,43107,97
42453,2022-10-03 03:46:41.530,40546,97
42454,2022-10-03 03:46:41.540,38181,97
42455,2022-10-03 03:46:41.550,36063,97
42456,2022-10-03 03:46:41.560,34221,97
42457,2022-10-03 03:46:41.570,32676,97
42458,2022-10-03 03:46:41.580,31425,97
42459,2022-10-03 03:46:41.590,30458,97
42460,2022-10-03 03:46:41.600,29746,97
42461,2022-10-03 03:46:41.610,29246,97
42462,2022-10-03 03:46:41.620,28911,97
42463,2022-10-03 03:46:41.630,28699,97
42464,2022-10-03 03:46:41.640,28557,97
42465,2022-10-03 03:46:41.650,28437,97
42466,2022-10-03 03:46:41.660,28299,97
42467,2022-10-03 03:46:41.670,28096,97
42468,2022-10-03 03:46:41.680,27800,97
42469,2022-10-03 03:46:41.690,27394,97
42470,2022-10-03 03:46:41.700,26851,97
42471,2022-10-03 03:46:41.710,26175,97
42472,2022-10-03 03:46:41.720,25360,97
42473,2022-10-03 03:46:41.730,24417,97
42474,2022-10-03 03:46:41.740,23352,97
42475,2022-10-03 03:46:41.750,22180,97
42476,2022-10-03 03:46:41.760,20923,97
42477,2022-10-03 03:46:41.770,19604,97
42478,2022-10-03 03:46:41.780,18250,97
42479,2022-10-03 03:46:41.790,16873,97
42480,2022-10-03 03:46:41.800,15495,97
42481,2022-10-03 03:46:41.810,14149,97
42482,2022-10-03 03:46:41.820,12864,97
42483,2022-10-03 03:46:41.830,11695,97
42484,2022-10-03 03:46:41.840,10720,97
42485,2022-10-03 03:46:41.850,10067,97
42486,2022-10-03 03:46:41.860,9885,97
42487,2022-10-03 03:46:41.870,10318,97
42488,2022-10-03 03:46:41.880,11477,97
42489,2022-10-03 03:46:41.890,13435,97
42490,2022-10-03 03:46:41.900,16209,97
42491,2022-10-03 03:46:41.910,19736,97
42492,2022-10-03 03:46:41.920,23909,97
42493,2022-10-03 03:46:41.930,28576,97
42494,2022-10-03 03:46:41.940,33539,97
42495,2022-10-03 03:46:41.950,38614,97
42496,2022-10-03 03:46:41.960,43584,97
42497,2022-10-03 03:46:41.970,48249,97
42498,2022-10-03 03:46:41.980,52445,97
42499,2022-10-03 03:46:41.990,56046,97
42500,2022-10-03 03:46:42.000,58942,97
42501,2022-10-03 03:46:42.010,61076,97
42502,2022-10-03 03:46:42.020,62258,97
42503,2022-10-03 03:46:42.030,62258,97
42504,2022-10-03 03:46:42.040,62045,97
42505,2022-10-03 03:46:42.050,61248,97
42506,2022-10-03 03:46:42.060,59874,97
42507,2022-10-03 03:46:42.070,58021,97
42508,2022-10-03 03:46:42.080,55776,97
42509,2022-10-03 03:46:42.090,53254,97
42510,2022-10-03 03:46:42.100,50557,97
42511,2022-10-03 03:46:42.110,47793,97
42512,2022-10-03 03:46:42.120,45043,97
42513,2022-10-03 03:46:42.130,42393,97
42514,2022-10-03 03:46:42.140,39913,97
42515,2022-10-03 03:46:42.150,37653,97
42516,2022-10-03 03:46:42.160,35650,97
42517,2022-10-03 03:46:42.170,33929,97
42518,2022-10-03 03:46:42.180,32490,97
42519,2022-10-03 03:46:42.190,31311,97
42520,2022-10-03 03:46:42.200,30390,97
42521,2022-10-03 03:46:42.210,29689,97
42522,2022-10-03 03:46:42.220,29159,97
42523,2022-10-03 03:46:42.230,28755,97
42524,2022-10-03 03:46:42.240,28429,97
42525,2022-10-03 03:46:42.250,28130,97
42526,2022-10-03 03:46:42.260,27824,97
42527,2022-10-03 03:46:42.270,27461,97
42528,2022-10-03 03:46:42.280,27018,97
42529,2022-10-03 03:46:42.290,26466,97
42530,2022-10-03 03:46:42.300,25795,97
42531,2022-10-03 03:46:42.310,24997,97
42532,2022-10-03 03:46:42.320,24077,97
42533,2022-10-03 03:46:42.330,23043,97
42534,2022-10-03 03:46:42.340,21915,97
42535,2022-10-03 03:46:42.350,20711,97
42536,2022-10-03 03:46:42.360,19449,97
42537,2022-10-03 03:46:42.370,18156,97
42538,2022-10-03 03:46:42.380,16856,97
42539,2022-10-03 03:46:42.390,15562,97
42540,2022-10-03 03:46:42.400,14301,97
42541,2022-10-03 03:46:42.410,13102,97
42542,2022-10-03 03:46:42.420,11996,97
42543,2022-10-03 03:46:42.430,11044,97
42544,2022-10-03 03:46:42.440,10345,97
42545,2022-10-03 03:46:42.450,10030,97
42546,2022-10-03 03:46:42.460,10249,97
42547,2022-10-03 03:46:42.470,11140,97
42548,2022-10-03 03:46:42.480,12811,97
42549,2022-10-03 03:46:42.490,15305,97
42550,2022-10-03 03:46:42.500,18599,97
42551,2022-10-03 03:46:42.510,22612,97
42552,2022-10-03 03:46:42.520,27205,97
42553,2022-10-03 03:46:42.530,32200,97
42554,2022-10-03 03:46:42.540,37392,97
42555,2022-10-03 03:46:42.550,42565,97
42556,2022-10-03 03:46:42.560,47503,97
42557,2022-10-03 03:46:42.570,52009,97
42558,2022-10-03 03:46:42.580,55922,97
42559,2022-10-03 03:46:42.590,59129,97
42560,2022-10-03 03:46:42.600,61540,97
42561,2022-10-03 03:46:42.610,62258,97
42562,2022-10-03 03:46:42.620,62258,97
42563,2022-10-03 03:46:42.630,62098,97
42564,2022-10-03 03:46:42.640,61318,97
42565,2022-10-03 03:46:42.650,59902,97
42566,2022-10-03 03:46:42.660,57949,97
42567,2022-10-03 03:46:42.670,55563,97
42568,2022-10-03 03:46:42.680,52860,97
42569,2022-10-03 03:46:42.690,49952,97
42570,2022-10-03 03:46:42.700,46960,97
42571,2022-10-03 03:46:42.710,43976,97
42572,2022-10-03 03:46:42.720,41091,97
42573,2022-10-03 03:46:42.730,38377,97
42574,2022-10-03 03:46:42.740,35893,97
42575,2022-10-03 03:46:42.750,33685,97
42576,2022-10-03 03:46:42.760,31758,97
42577,2022-10-03 03:46:42.770,30120,97
42578,2022-10-03 03:46:42.780,28762,97
42579,2022-10-03 03:46:42.790,27640,97
42580,2022-10-03 03:46:42.800,26728,97
42581,2022-10-03 03:46:42.810,25977,97
42582,2022-10-03 03:46:42.820,25342,97
42583,2022-10-03 03:46:42.830,24773,97
42584,2022-10-03 03:46:42.840,24231,97
42585,2022-10-03 03:46:42.850,23676,97
42586,2022-10-03 03:46:42.860,23075,97
42587,2022-10-03 03:46:42.870,22405,97
42588,2022-10-03 03:46:42.880,21654,97
42589,2022-10-03 03:46:42.890,20811,97
42590,2022-10-03 03:46:42.900,19876,97
42591,2022-10-03 03:46:42.910,18854,97
42592,2022-10-03 03:46:42.920,17752,97
42593,2022-10-03 03:46:42.930,16580,97
42594,2022-10-03 03:46:42.940,15361,97
42595,2022-10-03 03:46:42.950,14108,97
42596,2022-10-03 03:46:42.960,12838,97
42597,2022-10-03 03:46:42.970,11567,97
42598,2022-10-03 03:46:42.980,10297,97
42599,2022-10-03 03:46:42.990,9063,97
42600,2022-10-03 03:46:43.000,7880,97
42601,2022-10-03 03:46:43.010,6779,97
42602,2022-10-03 03:46:43.020,5812,97
42603,2022-10-03 03:46:43.030,5069,97
42604,2022-10-03 03:46:43.040,4687,97
